date	total_ridership	alert_count	affected_riders
2024-02-25	1772110	92	600126
2024-02-26	3497354	140	1443748
2024-02-27	3866063	171	1863179
2024-02-28	3849010	169	1387305
2024-02-29	3973903	203	2309581
2024-03-01	3653621	141	1714221
2024-03-02	2147734	84	595797
2024-03-03	1995494	82	700651
2024-03-04	3600571	93	1260305
2024-03-05	3885320	156	1832722
2024-03-06	3932545	166	1682019
2024-03-07	3966221	185	1603001
2024-03-08	3769030	168	1713471
2024-03-09	2261330	120	858755
2024-03-10	1839215	75	566980
2024-03-11	3560810	160	1325868
2024-03-12	4058644	149	1780488
2024-03-13	4096588	133	1327281
2024-03-14	4125026	149	1646555
2024-03-15	3728733	155	1639092
2024-03-16	2614925	96	860745
2024-03-17	2008445	59	528759
2024-03-18	3545691	129	1329123
2024-03-19	3936924	140	1879832
2024-03-20	3955875	177	1758833
2024-03-21	3935344	163	1789820
2024-03-22	3666245	164	1623250
2024-03-23	1915280	110	796664
2024-03-24	1946759	112	731761
2024-03-25	3644585	152	1370615
2024-03-26	4036712	140	1905558
2024-03-27	4083295	187	2248520
2024-03-28	3984005	172	2087311
2024-03-29	3453730	127	1500206
2024-03-30	2582972	128	1157528
2024-03-31	1969635	114	698565
2024-04-01	3384326	103	1211191
2024-04-02	3974709	189	2157614
2024-04-03	3954991	172	1515912
2024-04-04	4182688	172	2346085
2024-04-05	3883753	129	1507025
2024-04-06	2532477	99	953532
2024-04-07	1932597	95	598750
2024-04-08	3438813	121	1227704
2024-04-09	3953059	174	1824069
2024-04-10	3734818	153	1769084
2024-04-11	3952010	168	1536018
2024-04-12	3645726	122	1592199
2024-04-13	2564569	132	915925
2024-04-14	2101011	98	746329
2024-04-15	3766629	122	1123979
2024-04-16	4100633	144	1839002
2024-04-17	4088127	136	1440030
2024-04-18	4035098	164	1746951
2024-04-19	3781524	149	1456242
2024-04-20	2587786	101	1037875
2024-04-21	1948228	65	509744
2024-04-22	3274246	106	830784
2024-04-23	3581566	125	1337858
2024-04-24	3672808	126	1491593
2024-04-25	3791351	109	1449348
2024-04-26	3508377	97	1242448
2024-04-27	2554792	67	497067
2024-04-28	2115562	80	588043
2024-04-29	3383703	169	1535997
2024-04-30	3702022	204	1868476
2024-05-01	4098422	138	1615583
2024-05-02	4133375	137	1557082
2024-05-03	3860863	179	1634489
2024-05-04	2614503	114	1012251
2024-05-05	1921071	49	200434
2024-05-06	3713708	117	1436356
2024-05-07	4166091	130	1441700
2024-05-08	4157154	143	1559209
2024-05-09	4158587	157	1723368
2024-05-10	3756689	117	1309573
2024-05-11	2699929	72	642222
2024-05-12	1891263	82	592557
2024-05-15	4182029	0	0
2024-05-16	4176769	123	1692761
2024-05-17	3901401	125	1354804
2024-05-18	2744801	81	583671
2024-05-19	2154991	88	479355
2024-05-20	3743953	126	1447710
